date	drop_ID	Species	tube	male	hour_spawning	hour_video	time_after_spawning	time_after_spawning.min	time_after_min_round	egg_present	replicate	Total_Sperm	Total_Paths	Slow_Sperm	Motile_Sperm	Progressive_Motile_Sperm	Total_motile_sperm	Percent_Motile	Percent_Progressive	Percent_Total_Motile	Avg_Motile_VCL	Avg_Motile_VAP	Avg_Motile_VSL	Avg_Prog_Motile_VCL	Avg_Prog_Motile_VAP	Avg_Prog_Motile_VSL	Avg_Tot_Motile_VCL	Avg_Tot_Motile_VAP	Avg_Tot_Motile_VSL	Z-video	coments
2024-02-20	a	Lophelia	9	69	12:00	16:42	04:42	4.700	4.700	yes	1	61	52	1	5	46	51	8.196721311	75.40983607	83.60655738	60.13586896	55.89961558	29.64352344	135.1605323	122.3319235	113.6156234	127.8051731	115.8189521	105.3830646	down	many movig fast
2024-02-20	b	Lophelia	9	69	12:00	16:42	04:42	4.700	4.700	yes	2	70	61	0	5	56	61	7.142857143	80	87.14285714	68.67792622	43.61541075	39.01711837	134.9558393	120.6733857	112.1238162	129.5232235	114.3571582	106.1314639	down	many movig fast
2024-02-20	c	Lophelia	9	69	12:00	16:42	04:42	4.700	4.700	yes	3	59	51	2	5	44	49	8.474576271	74.57627119	83.05084746	54.93517878	42.86905992	21.88491592	132.9619579	120.389541	111.3705251	125.0000417	112.4792878	102.2393405	down	many movig fast
2024-02-20	a	Lophelia	9	69	12:00	16:29	04:29	4.483	4.700	no 	1	141	89	0	8	81	89	5.673758865	57.44680851	63.12056738	41.41347733	37.57162304	17.48126575	134.5759446	120.6502024	105.8253992	126.2017902	113.1824649	97.88435348	down	many movig fast
2024-02-20	b	Lophelia	9	69	12:00	16:29	04:29	4.483	4.700	no 	2	110	65	0	4	61	65	3.636363636	55.45454545	59.09090909	43.40900276	38.7010547	14.43866046	133.3246483	119.9902323	109.7147668	127.7913778	114.9878213	103.8516218	down	many movig fast
2024-02-20	c	Lophelia	9	69	12:00	16:29	04:29	4.483	4.700	no	3	117	71	1	10	60	70	8.547008547	51.28205128	59.82905983	64.92389189	47.28420913	30.46135792	135.3285404	121.3139697	112.7034482	125.2707335	110.7382897	100.9545781	down	many movig fast
2024-02-20	a	Lophelia	9	69	12:00	21:08	09:08	9.133	9.100	yes	1	332	278	7	23	246	269	6.927710843	74.09638554	81.02409639	118.8070797	58.10354179	77.65344923	137.0003079	118.7099997	101.8230049	135.208223	113.2784536	99.59591267	down	many moving fast
2024-02-20	b	Lophelia	9	69	12:00	21:08	09:08	9.133	9.100	yes	2	338	287	2	38	245	283	11.24260355	72.4852071	83.72781065	119.0138516	57.44793065	69.83171376	138.5597751	120.1509525	99.56655332	135.8583545	111.5021638	95.4766581	down	many moving fast
2024-02-20	c	Lophelia	9	69	12:00	21:08	09:08	9.133	9.100	yes	3	316	267	4	25	238	263	7.911392405	75.3164557	83.2278481	106.7735432	59.32036349	63.7132506	142.1066156	121.8802172	102.9411868	138.7479585	115.9334631	99.21229556	down	many moving fast
2024-02-20	a	Lophelia	9	69	12:00	21:06	09:06	9.100	9.100	no 	1	384	300	6	61	231	292	15.88541667	60.15625	76.04166667	85.22652619	54.83140974	43.71450789	133.6498507	116.6143243	88.95570155	123.4842079	103.5400209	79.52944727	down	many moving fast
2024-02-20	b	Lophelia	9	69	12:00	21:06	09:06	9.100	9.100	no 	2	473	373	8	61	302	363	12.89640592	63.84778013	76.74418605	85.76941717	55.84156763	43.19839923	134.7884535	116.1471454	92.19735559	126.6616982	105.8667176	83.95893817	down	many moving fast
2024-02-20	c	Lophelia	9	69	12:00	21:06	09:06	9.100	9.100	no	3	448	367	5	65	294	359	14.50892857	65.625	80.13392857	91.37280022	57.78330944	46.55336585	134.4794981	117.5277458	88.23923125	126.3763536	106.4841813	80.52409899	down	many moving fast
2024-02-24	a	Lophelia	2	52	11:20	13:32	02:12	2.200	2.200	yes	1	72	64	41	9	14	23	12.5	19.4444444444444	31.9444444444444	62.6435505653181	45.8858056622443	42.0599741619394	130.943664806284	115.370205163881	104.795695823995	104.217533146775	88.1806575328059	80.2469351736255	down	"many stuck, some swiming fast"
2024-02-24	b	Lophelia	2	52	11:20	13:32	02:12	2.200	2.200	yes	2	62	54	38	11	5	16	17.741935483871	8.06451612903226	25.8064516129032	52.29620086844	42.5808759900507	26.9720559911947	129.192947813029	118.044460014503	111.130090729673	76.3264342886242	66.1632459976919	53.2714418469692	down	"many stuck, some swiming fast"
2024-02-24	c	Lophelia	2	52	11:20	13:32	02:12	2.200	2.200	yes	3	70	67	45	10	12	22	14.2857142857143	17.1428571428571	31.4285714285714	51.8643929505104	44.5457850536035	26.407973574024	124.280545095244	113.226170464572	104.426990339909	91.3641123021833	82.0078134595861	68.9638009008702	down	"many stuck, some swiming fast"
2024-02-24	a	Lophelia	2	52	11:20	13:18	01:58	1.967	2.200	no	1	187	130	118	3	9	12	1.60427807486631	4.81283422459893	6.41711229946524	39.7232464870281	37.1773496175772	16.5649367136126	120.904540021143	107.073706954263	98.6889131996862	100.609216637614	89.5996176200919	78.1579190781678	down	many stuck
2024-02-24	b	Lophelia	2	52	11:20	13:18	01:58	1.967	2.200	no	2	160	133	119	7	7	14	4.375	4.375	8.75	49.6217022773335	37.9018262295989	19.4875853106478	109.423058391625	101.79651092596	86.0824128377095	79.5223803344793	69.8491685777792	52.7849990741787	down	many stuck
2024-02-24	c	Lophelia	2	52	11:20	13:18	01:58	1.967	2.200	no	3	173	134	120	5	9	14	2.89017341040462	5.20231213872832	8.09248554913295	52.8454155426435	33.7436960854424	23.2165248952364	128.337583638072	112.284912982384	95.8430637350917	101.376095032562	84.2344783763334	69.9050141494291	down	many stuck
2024-02-24	a	Lophelia	6	52	11:20	12:42	01:22	1.367	1.400	no	1	173	143	110	22	11	33	12.7167630057803	6.35838150289017	19.0751445086705	48.4543540652485	38.5733478356835	15.3631314082535	126.001238906209	107.997859640891	102.947356577104	74.303315678902	61.7148517707528	44.5578731312038	down	"many stuck, some swiming fast"
2024-02-24	b	Lophelia	6	52	11:20	12:42	01:22	1.367	1.400	no	2	126	105	85	14	6	20	11.1111111111111	4.76190476190476	15.8730158730159	45.6805451300765	35.1578919910515	21.0908632345092	131.282686273334	116.255501307142	109.951217805094	71.3611874730538	59.4871747858785	47.7489696056847	down	"many stuck, some swiming fast"
2024-02-24	c	Lophelia	6	52	11:20	12:42	01:22	1.367	1.400	no	3	135	117	82	24	11	35	17.7777777777778	8.14814814814815	25.9259259259259	49.1656226835458	39.2543066057338	25.7826051339271	128.841764017373	107.86067380165	104.194147851072	74.2066956741773	60.8163077244503	50.4262328450297	down	"many stuck, some swiming fast"
2024-02-24	a	Lophelia	8	52	11:20	14:15	02:55	2.917	3.000	yes	1	86	69	54	6	9	15	6.97674418604651	10.4651162790698	17.4418604651163	48.6151770211418	31.4102798352333	28.8063363038953	119.413074751158	110.138071426477	100.880121446956	91.0939156591518	78.6469547899793	72.0506073897315	down	"many stuck, some swiming fast"
2024-02-24	b	Lophelia	8	52	11:20	14:15	02:55	2.917	3.000	yes	2	141	106	85	15	6	21	10.6382978723404	4.25531914893617	14.8936170212766	53.0599966696329	32.5174352455213	34.4554821286223	118.396244858516	104.499028911093	99.1907324408012	71.7274961521711	53.0836048642561	52.951267932102	down	"many stuck, some swiming fast"
2024-02-24	c	Lophelia	8	52	11:20	14:15	02:55	2.917	3.000	yes	3	82	67	54	6	6	12	7.31707317073171	7.31707317073171	14.6341463414634	43.2803688482239	39.4419892665144	19.5317433169857	133.072468085422	119.539740608781	115.156566344376	93.4718818194809	79.465317520275	70.8221940530557	down	"many stuck, some swiming fast"
2024-02-24	a	Lophelia	8	52	11:20	14:11	02:51	2.850	3.000	no	1	117	87	75	6	6	12	5.12820512820513	5.12820512820513	10.2564102564103	95.0386775412483	49.6986811183892	59.5566166362469	117.035706052993	102.464047745745	95.2257927327658	106.03719179712	76.081364432067	77.3912046845064	down	"many stuck, some swiming fast"
2024-02-24	b	Lophelia	8	52	11:20	14:11	02:51	2.850	3.000	no	2	109	87	73	7	7	14	6.42201834862385	6.42201834862385	12.8440366972477	61.2764105731283	47.1388185799858	30.3830835990248	121.352222287418	105.944144105039	104.186793172097	91.3143164302732	76.5414813425126	67.2849383855607	down	"many stuck, some swiming fast"
2024-02-24	c	Lophelia	8	52	11:20	14:11	02:51	2.850	3.000	no	3	115	92	83	4	5	9	3.47826086956522	4.34782608695652	7.82608695652174	61.9156491709282	50.9751816783087	24.8479947427307	135.021717888302	124.424953684486	118.689680281838	102.530131791691	91.7806105706293	76.9822644866789	down	"many stuck, some swiming fast"
2024-02-25	a	Lophelia	1	59	16:40	17:08	00:28	0.467	0.500	yes	1	43	6	0	4	2	6	9.30232558139535	4.65116279069767	13.953488372093	60.665012323488	56.8709611364576	26.3934661204553	125.231312480487	110.754992548319	106.697114466482	82.1871123758212	74.8323049404113	53.1613489024641	down	not many in field of view but moving 
2024-02-25	b	Lophelia	1	59	16:40	17:08	00:28	0.467	0.500	yes	2	48	7	0	4	3	7	8.33333333333333	6.25	14.5833333333333	69.2333301493214	65.1462404984671	30.6771859954153	122.145666129982	112.442878119353	91.4275875293835	91.9100455696047	85.4162280502752	56.7130723671159	down	not many in field of view but moving 
2024-02-25	c	Lophelia	1	59	16:40	17:08	00:28	0.467	0.500	yes	3	44	6	0	4	2	6	9.09090909090909	4.54545454545455	13.6363636363636	68.9445360456735	62.6794467084929	34.2813432673205	109.690825187441	89.6345733809916	70.5523471859686	82.5266324262625	71.6644889326591	46.3716779068698	down	not many in field of view but moving 
2024-02-25	a	Lophelia	1	59	16:40	16:55	00:15	0.250	0.500	no	1	34	9	1	4	4	8	11.7647058823529	11.7647058823529	23.5294117647059	51.1053496360354	46.2413446513869	26.9032851214767	109.377000360459	102.256587618028	78.1192961871917	80.2411749982473	74.2489661347075	52.5112906543342	down	not many in field of view but moving 
2024-02-25	b	Lophelia	1	59	16:40	16:55	00:15	0.250	0.500	no	2	37	10	1	4	5	9	10.8108108108108	13.5135135135135	24.3243243243243	66.2835535668382	56.840934047378	25.9110660561729	112.541956971051	101.059417174729	81.0713219811126	91.9826665691784	81.4067580070176	56.5556526811394	down	not many in field of view but moving 
2024-02-25	c	Lophelia	1	59	16:40	16:55	00:15	0.250	0.500	no	3	43	13	1	8	4	12	18.6046511627907	9.30232558139535	27.906976744186	69.2595653491306	56.479253066757	39.3685031188371	117.32253570972	108.628362660031	97.0427931043616	85.2805554693271	73.8622895978482	58.5932664473452	down	not many in field of view but moving 
2024-02-25	a	Lophelia	2	59	17:20	17:34	00:14	0.233	0.500	yes	1	139	22	5	8	9	17	5.75539568345324	6.47482014388489	12.2302158273381	43.6108792830643	39.5515311020168	12.8794197574515	127.37852101341	117.489628455552	109.062260448016	87.958454316777	80.8128767597707	63.7997471818678	down	"many stuck, some swiming fast"
2024-02-25	b	Lophelia	2	59	17:20	17:34	00:14	0.233	0.500	yes	2	135	24	7	12	5	17	8.88888888888889	3.7037037037037	12.5925925925926	48.0229785757192	43.4830541202445	21.5782220901726	127.946312261151	119.049889853502	106.505392771562	71.5298414243755	65.708594041791	46.556801702346	down	"many stuck, some swiming fast"
2024-02-25	c	Lophelia	2	59	17:20	17:34	00:14	0.233	0.500	yes	3	141	34	16	10	8	18	7.09219858156028	5.67375886524823	12.7659574468085	51.0854130361332	36.4536720928349	20.2212236933415	121.55908480247	104.442511763366	95.0779159931633	82.4070449322828	66.6709341686265	53.4908647154845	down	"many stuck, some swiming fast"
2024-02-25	a	Lophelia	2	59	17:20	17:31	00:11	0.183	0.500	no 	1	98	24	6	14	4	18	14.2857142857143	4.08163265306122	18.3673469387755	42.3408631398107	38.1646660449702	14.8167527851508	124.234764929882	110.69502288655	89.3444131598598	60.5395079820487	54.2825231208768	31.3784550906417	down	"many stuck, some swiming fast"
2024-02-25	b	Lophelia	2	59	17:20	17:31	00:11	0.183	0.500	no	2	93	20	4	10	6	16	10.752688172043	6.45161290322581	17.2043010752688	48.3555872317786	44.4866926924929	19.5378057796846	129.745557885585	111.715343935534	99.409006803583	78.876826226956	69.6974369086334	49.4895061636465	down	"many stuck, some swiming fast"
